"scenario","time","phase","step","turnWeight","leftReason","rightReason","leftContact","rightContact","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection"
"left-tap","0.4403047561645508","0.31011152267456055","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.030948977917432785","0.02854950726032257","0","0.04881703481078148"
"left-tap","0.47444820404052734","0.34315353631973267","True","1","3","1","1","0","0.03501930832862854","0.03499642387032509","0.03114353120326996","0.02708464488387108","0","0.05383723974227905"
"left-tap","0.48624324798583984","0.3545674681663513","True","1","3","1","1","0","0.035023126751184464","0.035000238567590714","0.031261786818504333","0.026249215006828308","0","0.05534406006336212"
"left-tap","0.49815940856933594","0.36609935760498047","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.03144489601254463","0.025261197239160538","0","0.05696914345026016"
"left-tap","0.5100002288818359","0.3775585889816284","True","1","3","1","1","0","0.03501930832862854","0.03499642387032509","0.03173481673002243","0.024173995479941368","0","0.0588078498840332"
"left-tap","0.5205087661743164","0.387728214263916","True","1","3","1","1","0","0.03501931205391884","0.035000238567590714","0.032089587301015854","0.023208865895867348","0","0.06068088859319687"
"left-tap","0.5322484970092773","0.3990892171859741","True","1","3","1","1","0","0.03501930832862854","0.03499642387032509","0.03259694576263428","0.022239919751882553","0","0.06309180706739426"
"left-tap","0.5428304672241211","0.4093301594257355","True","1","3","1","1","0","0.035023123025894165","0.035000238567590714","0.0331806056201458","0.021293863654136658","0","0.0658918246626854"
"left-tap","0.5811471939086914","0.4464104473590851","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.03611414134502411","0.01813906989991665","0","0.07795786112546921"
"left-tap","0.5940465927124023","0.458893358707428","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.03735393285751343","0.017517266795039177","0","0.08177260309457779"
"left-tap","0.6042308807373047","0.4687490463256836","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.03842587769031525","0.017193013802170753","0","0.08453448116779327"
"left-tap","0.615626335144043","0.47977733612060547","True","1","3","1","1","0","0.035023123025894165","0.03499642387032509","0.039696186780929565","0.016910722479224205","0","0.08743368089199066"
"left-tap","0.6274604797363281","0.49122950434684753","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.04106949269771576","0.016727615147829056","0","0.0902031883597374"
