"scenario","time","phase","turnWeight","direction","leftHeight","rightHeight","leftContact","rightContact","eamm","presentationClock","animatorSpeed","stateLength","stateSpeed","stateSpeedMultiplier","turnClipLength","leftAboveSurface","rightAboveSurface","leftProbeClearance","rightProbeClearance","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection","pelvisOffset","leftFloorPredicted","rightFloorPredicted","leftFloorGoal","rightFloorGoal","leftFloorBone","rightFloorBone","leftFloorEvaluated","rightFloorEvaluated","leftReason","rightReason","step"
"right-tap","0.14443206787109375","0.09977796673774719","1","1","-1.1481692790985107","-1.1708344221115112","0","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05345626547932625","0.029972054064273834","0.003515051444992423","-0.0285783838480711","0.04001281037926674","0.036999158561229706","0.02615003101527691","0.0380672886967659","0.04731128737330437","0.011403104290366173","-0.002561569446697831","-0.007293823640793562","0.025596892461180687","0.02248758263885975","0.010864702053368092","-0.007293823640793562","0.025596892461180687","True","True","1","1","True"
"right-tap","0.15789794921875","0.1128096729516983","1","1","-1.1463618278503418","-1.1718835830688477","0","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.055195629596710205","0.02899985946714878","0.009836082346737385","-0.02850971929728985","0.042942531406879425","0.036999158561229706","0.027408897876739502","0.03755229711532593","0.04231397435069084","0.006363827735185623","-0.002000235253944993","0.0006332130287773907","0.030636169016361237","0.03055974654853344","0.01246633194386959","0.0006332130287773907","0.030636169016361237","True","True","1","1","True"
"right-tap","0.170135498046875","0.12465289980173111","1","1","-1.1447405815124512","-1.1718034744262695","0","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.056754596531391144","0.029139481484889984","0.01587863452732563","-0.028460128232836723","0.04499104991555214","0.036999162286520004","0.028667762875556946","0.03656427934765816","0.036877963691949844","0.0033806972205638885","-0.0015914065297693014","0.008117739111185074","0.03361929580569267","0.03750003129243851","0.012784475460648537","0.008117739111185074","0.03361929580569267","True","True","1","1","True"
"right-tap","0.1831207275390625","0.13721922039985657","1","1","-1.1435980796813965","-1.1705435514450073","0","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05791531130671501","0.030373593792319298","0.022192034870386124","-0.028490645810961723","0.04670005291700363","0.036999158561229706","0.030216548591852188","0.03673594444990158","0.030274640768766403","0.0018242821097373962","-0.0012440583668649197","0.016430065035820007","0.035175714641809464","0.04470885545015335","0.011866992339491844","0.016430065035820007","0.035175714641809464","True","True","1","1","True"
"right-tap","0.1947498321533203","0.14847280085086823","1","1","-1.1432043313980103","-1.1697269678115845","0","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05817495658993721","0.031245213001966476","0.026517953723669052","-0.028444869443774223","0.04754692688584328","0.036999158561229706","0.031685225665569305","0.03746837377548218","0.02376287430524826","0.0004624202847480774","-0.000995128066278994","0.02378488890826702","0.03653757646679878","0.04986996203660965","0.011289108544588089","0.02378488890826702","0.03653757646679878","True","True","1","1","True"
"right-tap","0.20670604705810547","0.16004331409931183","1","1","-1.143481731414795","-1.1682485342025757","0","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05772337317466736","0.03277193382382393","0.029638415202498436","-0.0284029059112072","0.0476880706846714","0.037773553282022476","0.033047087490558624","0.039825886487960815","0.017495250329375267","0","-0.0007890398264862597","0.030197473242878914","0.037773553282022476","0.05378914624452591","0.010784739628434181","0.030197473242878914","0.037773553282022476","True","True","1","1","True"
"right-tap","0.21894168853759766","0.17188480496406555","1","1","-1.1446878910064697","-1.166463017463684","0","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.0563388466835022","0.03455764800310135","0.03148093447089195","-0.028406720608472824","0.04689079150557518","0.03889508917927742","0.03421058505773544","0.04116867482662201","0.012085942551493645","0","-0.0006207602564245462","0.034809499979019165","0.03889508917927742","0.056386761367321014","0.01028459332883358","0.034809499979019165","0.03889508917927742","True","True","1","1","True"
"right-tap","0.2544851303100586","0.20628154277801514","1","1","-1.1701831817626953","-1.1647998094558716","0.17000000178813934","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.02990208938717842","0.03628694266080856","0.029386643320322037","-0.028360942378640175","0.02664976194500923","0.03983733057975769","0.014148848131299019","0.041717998683452606","0","0","-0.0026274791453033686","0.057194411754608154","0.039841145277023315","0.061727169901132584","0.0075405798852443695","0.04376324266195297","0.039841145277023315","True","True","2","1","True"
"right-tap","0.2698936462402344","0.22119280695915222","1","1","-1.1735800504684448","-1.1650683879852295","0.3400000035762787","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.026468293741345406","0.036048442125320435","0.025901488959789276","-0.028338056057691574","0.025173457339406013","0.03948256000876427","0.011940112337470055","0.041004642844200134","0","0","-0.003923842683434486","0.049168191850185394","0.03948256000876427","0.05662119388580322","0.006146371364593506","0.0397179014980793","0.03948256000876427","True","True","3","1","True"
"right-tap","0.2886486053466797","0.23934242129325867","1","1","-1.1733161211013794","-1.164988398551941","0.5099999904632568","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.026732180267572403","0.03615850210189819","0.02021351084113121","-0.028322797268629074","0.026340767741203308","0.03945967182517052","0.014625690877437592","0.04056975990533829","0","0","-0.004551329649984837","0.04208039864897728","0.03945967182517052","0.05004153028130531","0.005403060466051102","0.0344306118786335","0.03945967182517052","True","True","3","1","True"
"right-tap","0.3005695343017578","0.25087878108024597","1","1","-1.1711201667785645","-1.1647019386291504","0.6800000071525574","0","0","1","1","1.033333420753479","1","1","1.033333420753479","0.028928186744451523","0.03645304590463638","0.015916185453534126","-0.028315167874097824","0.02886231429874897","0.03967329487204552","0.01902027614414692","0.04048583656549454","0","0","-0.004443406593054533","0.03813595324754715","0.03967329487204552","0.04590068757534027","0.0054365843534469604","0.031261611729860306","0.03967329487204552","True","True","3","1","True"
