renderer	mesh	meshPath	meshGuid	material	shader	materialGuid	triangles	distance
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 053	Planet Cosmetic Rock Cluster 053			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2194	107.71
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 054	Planet Cosmetic Rock Cluster 054			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1880	26.75
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 055	Planet Cosmetic Rock Cluster 055			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1230	78.78
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 056	Planet Cosmetic Rock Cluster 056			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2571	16.19
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 057	Planet Cosmetic Rock Cluster 057			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2472	100.22
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 058	Planet Cosmetic Rock Cluster 058			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2233	110.42
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 059	Planet Cosmetic Rock Cluster 059			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3101	53.98
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 060	Planet Cosmetic Rock Cluster 060			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1801	47.78
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 061	Planet Cosmetic Rock Cluster 061			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1691	104.52
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 062	Planet Cosmetic Rock Cluster 062			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2562	25.56
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 063	Planet Cosmetic Rock Cluster 063			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1611	38.53
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 064	Planet Cosmetic Rock Cluster 064			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1682	79.41
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 065	Planet Cosmetic Rock Cluster 065			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3108	55.24
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 066	Planet Cosmetic Rock Cluster 066			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2032	112.44
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 067	Planet Cosmetic Rock Cluster 067			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1924	43.03
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 068	Planet Cosmetic Rock Cluster 068			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3085	91.42
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 069	Planet Cosmetic Rock Cluster 069			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2023	98.84
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 070	Planet Cosmetic Rock Cluster 070			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2018	37.05
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 071	Planet Cosmetic Rock Cluster 071			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2039	42.70
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 072	Planet Cosmetic Rock Cluster 072			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1432	67.90
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 073	Planet Cosmetic Rock Cluster 073			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1492	72.10
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 074	Planet Cosmetic Rock Cluster 074			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1521	110.74
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 075	Planet Cosmetic Rock Cluster 075			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2241	39.09
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 076	Planet Cosmetic Rock Cluster 076			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1907	102.70
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 077	Planet Cosmetic Rock Cluster 077			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2621	90.08
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 078	Planet Cosmetic Rock Cluster 078			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2294	53.08
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 079	Planet Cosmetic Rock Cluster 079			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1820	114.71
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 080	Planet Cosmetic Rock Cluster 080			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2692	58.48
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 081	Planet Cosmetic Rock Cluster 081			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2344	87.57
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 082	Planet Cosmetic Rock Cluster 082			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2405	106.29
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 083	Planet Cosmetic Rock Cluster 083			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1444	84.66
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 084	Planet Cosmetic Rock Cluster 084			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2282	110.69
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 085	Planet Cosmetic Rock Cluster 085			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1772	81.46
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 086	Planet Cosmetic Rock Cluster 086			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2320	69.77
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 087	Planet Cosmetic Rock Cluster 087			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3031	114.44
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 088	Planet Cosmetic Rock Cluster 088			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2283	53.70
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 089	Planet Cosmetic Rock Cluster 089			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1914	99.44
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 090	Planet Cosmetic Rock Cluster 090			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2265	99.14
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 091	Planet Cosmetic Rock Cluster 091			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2600	56.26
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 092	Planet Cosmetic Rock Cluster 092			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2323	114.86
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 093	Planet Cosmetic Rock Cluster 093			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1689	72.51
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 094	Planet Cosmetic Rock Cluster 094			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2524	84.37
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 095	Planet Cosmetic Rock Cluster 095			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3022	111.12
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 096	Planet Cosmetic Rock Cluster 096			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1807	55.80
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 097	Planet Cosmetic Rock Cluster 097			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1394	107.94
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 098	Planet Cosmetic Rock Cluster 098			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1389	91.44
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 099	Planet Cosmetic Rock Cluster 099			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2527	70.34
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 100	Planet Cosmetic Rock Cluster 100			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2032	115.45
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 101	Planet Cosmetic Rock Cluster 101			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2586	68.02
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 102	Planet Cosmetic Rock Cluster 102			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2973	96.41
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 103	Planet Cosmetic Rock Cluster 103			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2457	105.62
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 104	Planet Cosmetic Rock Cluster 104			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2397	63.87
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 105	Planet Cosmetic Rock Cluster 105			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1697	112.78
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 106	Planet Cosmetic Rock Cluster 106			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3176	96.20
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 107	Planet Cosmetic Rock Cluster 107			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1686	83.98
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 108	Planet Cosmetic Rock Cluster 108			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1864	77.54
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 109	Planet Cosmetic Rock Cluster 109			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1554	69.03
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 110	Planet Cosmetic Rock Cluster 110			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2510	104.67
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 111	Planet Cosmetic Rock Cluster 111			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2491	99.08
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 112	Planet Cosmetic Rock Cluster 112			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2233	108.98
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 113	Planet Cosmetic Rock Cluster 113			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2651	113.41
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 114	Planet Cosmetic Rock Cluster 114			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1457	96.09
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 115	Planet Cosmetic Rock Cluster 115			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2847	94.21
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 116	Planet Cosmetic Rock Cluster 116			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1290	108.07
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 117	Planet Cosmetic Rock Cluster 117			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1974	75.96
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 118	Planet Cosmetic Rock Cluster 118			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1656	108.47
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 119	Planet Cosmetic Rock Cluster 119			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2889	94.31
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 120	Planet Cosmetic Rock Cluster 120			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1723	87.45
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 121	Planet Cosmetic Rock Cluster 121			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2551	110.13
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 122	Planet Cosmetic Rock Cluster 122			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2264	84.73
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 123	Planet Cosmetic Rock Cluster 123			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2537	100.99
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 124	Planet Cosmetic Rock Cluster 124			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2343	102.44
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 125	Planet Cosmetic Rock Cluster 125			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3033	88.39
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 126	Planet Cosmetic Rock Cluster 126			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	3502	105.76
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 127	Planet Cosmetic Rock Cluster 127			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	1988	95.23
Editable Voxel Planet/Additional Planet Rock Scatter/Planet Cosmetic Rock Cluster 128	Planet Cosmetic Rock Cluster 128			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	2746	97.70
Earth Magic Runtime/Earth Platform 01	Runtime Earth Platform			RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	32	60.14
Earth Magic Runtime/Earth Platform 01/Platform Piece 01	V5_Physics_Boulder_00_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_00_CenteredUnit.asset	23ad7314d6415c2489a6043042c898cb	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	164	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 02	V5_Physics_Boulder_01_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_01_CenteredUnit.asset	e46e2e752a92f4445b9dff28264cc4ba	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	140	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 03	V5_Physics_Boulder_02_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_02_CenteredUnit.asset	8865e400055100a48b08f0300d227217	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	128	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 04	V5_Physics_Boulder_03_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_03_CenteredUnit.asset	4586f8f90eb8d9142b7b13004a95328e	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	140	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 05	V5_Physics_Boulder_04_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_04_CenteredUnit.asset	77b3da2cd22d6c64fb9a0a3d68769e71	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	152	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 06	V5_Physics_Boulder_05_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_05_CenteredUnit.asset	9458e42ababc9504f8929a3480df0061	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	152	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 07	V5_Physics_Boulder_06_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_06_CenteredUnit.asset	479fb44e71569d745848cc9b592b1d5e	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	128	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 08	V5_Physics_Boulder_07_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_07_CenteredUnit.asset	2d7c67f31bd7dce4bb75eb0e68552e86	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	128	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 09	V5_Physics_Boulder_00_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_00_CenteredUnit.asset	23ad7314d6415c2489a6043042c898cb	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	164	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 10	V5_Physics_Boulder_01_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_01_CenteredUnit.asset	e46e2e752a92f4445b9dff28264cc4ba	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	140	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 11	V5_Physics_Boulder_02_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_02_CenteredUnit.asset	8865e400055100a48b08f0300d227217	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	128	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 12	V5_Physics_Boulder_03_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_03_CenteredUnit.asset	4586f8f90eb8d9142b7b13004a95328e	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	140	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 13	V5_Physics_Boulder_04_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_04_CenteredUnit.asset	77b3da2cd22d6c64fb9a0a3d68769e71	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	152	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 14	V5_Physics_Boulder_05_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_05_CenteredUnit.asset	9458e42ababc9504f8929a3480df0061	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	152	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 15	V5_Physics_Boulder_06_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_06_CenteredUnit.asset	479fb44e71569d745848cc9b592b1d5e	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	128	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 16	V5_Physics_Boulder_07_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_07_CenteredUnit.asset	2d7c67f31bd7dce4bb75eb0e68552e86	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	128	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 17	V5_Physics_Boulder_00_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_00_CenteredUnit.asset	23ad7314d6415c2489a6043042c898cb	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	164	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 18	V5_Physics_Boulder_01_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_01_CenteredUnit.asset	e46e2e752a92f4445b9dff28264cc4ba	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	140	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 19	V5_Physics_Boulder_02_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_02_CenteredUnit.asset	8865e400055100a48b08f0300d227217	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	128	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 20	V5_Physics_Boulder_03_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_03_CenteredUnit.asset	4586f8f90eb8d9142b7b13004a95328e	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	140	60.57
Earth Magic Runtime/Earth Platform 01/Platform Piece 21	V5_Physics_Boulder_04_CenteredUnit	Assets/Elemental/Content/GraphicsV5/Physics/V5_Physics_Boulder_04_CenteredUnit.asset	77b3da2cd22d6c64fb9a0a3d68769e71	RumbleSandstone	Elemental/Graphics V5/Rumble Rock Lit	d0239ba4c83ca2a4e8f8ebeea7e809c4	152	60.57
