time,y,grounded,leftLock,rightLock,leftWeight,rightWeight,leftError,rightError,x,z,speed,commandY,progress
14.7434,55.5996,True,False,False,0.558,0.558,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7542,55.5996,True,False,False,0.585,0.585,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7649,55.5996,True,False,False,0.612,0.612,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7751,55.5996,True,False,False,0.637,0.637,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7850,55.5996,True,False,False,0.662,0.662,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7962,55.5996,True,False,False,0.690,0.690,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.8064,55.5996,True,False,False,0.716,0.716,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.8171,55.5996,True,False,False,0.742,0.742,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.8270,55.5996,True,False,False,0.767,0.767,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9174,55.5996,True,False,False,0.887,0.887,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9291,55.5996,True,False,False,0.916,0.916,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9395,55.5996,True,False,False,0.942,0.942,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9488,55.5996,True,False,False,0.966,0.966,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9588,55.5996,True,False,False,0.991,0.991,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9680,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9778,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9874,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.9972,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0066,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0167,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0258,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0362,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0452,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0549,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0640,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0741,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0844,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.0939,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1034,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1136,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1230,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1337,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1434,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1546,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1641,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1740,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1833,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.1934,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2031,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2127,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2220,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2318,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2407,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2509,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2603,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2705,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2807,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.2908,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3004,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3109,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3212,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3313,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3409,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
15.3514,55.5996,True,False,False,1.000,1.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
