phase,frame,captured,shedEvents,newDust,oldDust,chips,livingHoldWeight,focusX,focusY,focusZ
move,46,7,105,189,49,86,0.3219999,1.009416,57.91569,2.322524
move,47,7,105,191,48,85,0.3219999,0.9813742,57.92494,2.312013
move,48,7,108,210,60,93,0.3219999,0.9537687,57.9342,2.301547
move,49,7,108,211,50,86,0.3219999,0.9267051,57.94326,2.291147
move,50,7,108,209,50,86,0.3219999,0.9002755,57.95212,2.280864
move,51,7,108,196,49,85,0.3219999,0.8745852,57.96077,2.27075
move,52,7,108,194,48,85,0.3219999,0.849701,57.96899,2.260816
move,53,7,111,216,60,92,0.3219999,0.8256719,57.97723,2.251153
move,54,7,111,213,49,86,0.3219999,0.8026028,57.98503,2.24176
move,55,7,111,205,49,85,0.3219999,0.7805064,57.99261,2.232685
move,56,7,111,201,49,85,0.3219999,0.7594647,57.99976,2.223946
move,57,7,111,198,48,84,0.3219999,0.7395117,58.00647,2.215575
move,58,7,114,213,51,91,0.3219999,0.7206782,58.01297,2.207625
move,59,7,114,212,49,87,0.3219999,0.7030003,58.01901,2.200093
release,0,0,114,209,48,87,0.2122754,0.7030003,58.01901,2.200093
release,1,0,114,200,48,86,0.1399406,0.7030003,58.01901,2.200093
release,2,0,114,198,48,86,0.09225452,0.7030003,58.01901,2.200093
release,3,0,114,198,99,128,0.06081792,0.7030003,58.01901,2.200093
release,4,0,114,201,157,128,0.04009365,0.7030003,58.01901,2.200093
release,5,0,114,214,173,128,0.02643136,0.7030003,58.01901,2.200093
release,6,0,114,206,176,128,0.01742462,0.7030003,58.01901,2.200093
release,7,0,114,196,176,127,0.01148702,0.7030003,58.01901,2.200093
release,8,0,114,214,182,128,0.00757271,0.7030003,58.01901,2.200093
release,9,0,114,211,357,128,0.004992238,0.7030003,58.01901,2.200093
release,10,0,114,435,517,128,0.003291086,0.7030003,58.01901,2.200093
release,11,0,114,524,582,128,0.002169617,0.7030003,58.01901,2.200093
release,12,0,114,537,592,128,0.0014303,0.7030003,58.01901,2.200093
release,13,0,114,640,653,128,0.0009429118,0.7030003,58.01901,2.200093
release,14,0,114,757,744,128,0.0006216057,0.7030003,58.01901,2.200093
release,15,0,114,766,759,128,0.0004097877,0.7030003,58.01901,2.200093
release,16,0,114,768,768,128,0.0002701487,0.7030003,58.01901,2.200093
release,17,0,114,768,768,128,0.000178093,0.7030003,58.01901,2.200093
release,18,0,114,768,768,128,0.0001174061,0.7030003,58.01901,2.200093
release,19,0,114,768,768,128,7.739889E-05,0.7030003,58.01901,2.200093
release,20,0,114,768,768,128,5.102449E-05,0.7030003,58.01901,2.200093
release,21,0,114,768,750,128,3.363742E-05,0.7030003,58.01901,2.200093
release,22,0,114,768,768,128,2.217515E-05,0.7030003,58.01901,2.200093
release,23,0,114,768,768,128,1.461876E-05,0.7030003,58.01901,2.200093
release,24,0,114,768,728,128,9.637281E-06,0.7030003,58.01901,2.200093
release,25,0,114,768,768,128,6.353287E-06,0.7030003,58.01901,2.200093
release,26,0,114,768,768,128,4.188345E-06,0.7030003,58.01901,2.200093
release,27,0,114,768,727,128,2.761127E-06,0.7030003,58.01901,2.200093
release,28,0,114,768,768,128,1.820247E-06,0.7030003,58.01901,2.200093
release,29,0,114,768,768,128,1.199981E-06,0.7030003,58.01901,2.200093
release,30,0,114,754,726,125,7.91076E-07,0.7030003,58.01901,2.200093
release,31,0,114,742,700,128,5.215094E-07,0.7030003,58.01901,2.200093
release,32,0,114,768,768,128,3.438002E-07,0.7030003,58.01901,2.200093
release,33,0,114,768,733,128,2.26647E-07,0.7030003,58.01901,2.200093
release,34,0,114,768,768,128,1.494149E-07,0.7030003,58.01901,2.200093
release,35,0,114,768,768,128,9.850039E-08,0.7030003,58.01901,2.200093
release,36,0,114,706,753,128,6.493546E-08,0.7030003,58.01901,2.200093
release,37,0,114,695,739,128,4.280809E-08,0.7030003,58.01901,2.200093
release,38,0,114,706,736,128,2.822083E-08,0.7030003,58.01901,2.200093
release,39,0,114,699,740,128,1.860432E-08,0.7030003,58.01901,2.200093
release,40,0,114,739,752,128,1.226472E-08,0.7030003,58.01901,2.200093
release,41,0,114,744,738,128,8.085402E-09,0.7030003,58.01901,2.200093
release,42,0,114,763,702,124,5.330225E-09,0.7030003,58.01901,2.200093
release,43,0,114,768,716,128,3.513901E-09,0.7030003,58.01901,2.200093
release,44,0,114,765,693,128,2.316506E-09,0.7030003,58.01901,2.200093
release,45,0,114,760,654,126,1.527135E-09,0.7030003,58.01901,2.200093
release,46,0,114,768,650,128,1.006749E-09,0.7030003,58.01901,2.200093
release,47,0,114,768,633,128,6.6369E-10,0.7030003,58.01901,2.200093
release,48,0,114,757,595,128,4.375314E-10,0.7030003,58.01901,2.200093
release,49,0,114,750,556,128,2.884385E-10,0.7030003,58.01901,2.200093
release,50,0,114,747,521,128,1.901504E-10,0.7030003,58.01901,2.200093
release,51,0,114,741,479,126,1.253548E-10,0.7030003,58.01901,2.200093
release,52,0,114,737,435,127,8.2639E-11,0.7030003,58.01901,2.200093
release,53,0,114,734,389,126,5.447898E-11,0.7030003,58.01901,2.200093
release,54,0,114,723,338,123,3.591476E-11,0.7030003,58.01901,2.200093
release,55,0,114,711,305,123,2.367647E-11,0.7030003,58.01901,2.200093
release,56,0,114,698,265,122,1.560849E-11,0.7030003,58.01901,2.200093
release,57,0,114,691,230,121,1.028975E-11,0.7030003,58.01901,2.200093
release,58,0,114,685,195,122,6.783421E-12,0.7030003,58.01901,2.200093
release,59,0,114,667,167,122,4.471906E-12,0.7030003,58.01901,2.200093
