"scenario","time","phase","step","turnWeight","leftReason","rightReason","leftContact","rightContact","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection"
"right-tap","0.31891822814941406","0.2640951871871948","True","1","3","1","1","0","0.03502693772315979","0.04227495193481445","0.029831258580088615","0.04270220175385475","0","0"
"right-tap","0.330963134765625","0.27575135231018066","True","1","3","1","1","0","0.03502693772315979","0.04224824905395508","0.03157459571957588","0.04241228103637695","0","0"
"right-tap","0.3688688278198242","0.31243377923965454","True","1","3","1","1","0","0.035023126751184464","0.043018825352191925","0.03483620285987854","0.04241228103637695","0","0"
"right-tap","0.38194847106933594","0.3250921368598938","True","1","3","1","1","0","0.03502693772315979","0.04349566996097565","0.035320673137903214","0.04265261068940163","0","0"
"right-tap","0.3936500549316406","0.3364158868789673","True","1","3","1","1","0","0.035023123025894165","0.043968699872493744","0.03554192930459976","0.04290056973695755","0","0"
"right-tap","0.4037055969238281","0.34614700078964233","True","1","3","1","1","0","0.035023123025894165","0.04443791136145592","0.03554574400186539","0.043156158179044724","0","0"
"right-tap","0.41497325897216797","0.3570510149002075","True","1","3","1","1","0","0.035023123025894165","0.044941458851099014","0.035328302532434464","0.04343463480472565","0","0"
"right-tap","0.4251880645751953","0.36693620681762695","True","1","3","1","1","0","0.035023123025894165","0.04535726457834244","0.03496590256690979","0.0436253696680069","0","0"
"right-tap","0.43631553649902344","0.37770456075668335","True","1","3","1","1","0","0.035023123025894165","0.04576544091105461","0.03449287638068199","0.043831367045640945","0","0"
"right-tap","0.4697895050048828","0.41009873151779175","True","1","3","1","1","0","0.035023123025894165","0.04685264453291893","0.0331806018948555","0.04538015276193619","0","0"
"right-tap","0.4820718765258789","0.42198511958122253","True","1","3","1","1","0","0.035023123025894165","0.04764610901474953","0.0327228344976902","0.04664664715528488","0","0"
"right-tap","0.49344921112060547","0.43299561738967896","True","1","3","1","1","0","0.03502693772315979","0.048176359385252","0.03226124867796898","0.0476270355284214","0","0"
"right-tap","0.5036277770996094","0.44284558296203613","True","1","3","1","1","0","0.03502693772315979","0.04950770363211632","0.03187977522611618","0.04941996559500694","0","0"
"right-tap","0.5147533416748047","0.45361238718032837","True","1","3","1","1","0","0.03502693772315979","0.05208265781402588","0.03162800148129463","0.052586205303668976","0","0"
"right-tap","0.525324821472168","0.4638427793979645","True","1","3","1","1","0","0.035023126751184464","0.05446687340736389","0.03150974586606026","0.05559984967112541","0","0"
"right-tap","0.5384693145751953","0.4765632748603821","True","1","3","1","1","0","0.035023123025894165","0.05725163593888283","0.03140674903988838","0.05926581844687462","0","0"
"right-tap","0.5783014297485352","0.5151107311248779","True","1","3","1","1","0","0.035023123025894165","0.06583480536937714","0.031170234084129333","0.07178199291229248","0","0"
"right-tap","0.5906963348388672","0.5271061658859253","True","1","3","1","1","0","0.03502693772315979","0.068928562104702","0.03116641938686371","0.07647794485092163","0","0"
"right-tap","0.6023702621459961","0.5384026169776917","True","1","3","1","1","0","0.035023123025894165","0.0719536542892456","0.031154975295066833","0.08114718645811081","0","0"
"right-tap","0.6146879196166992","0.5503233671188354","True","1","3","1","1","0","0.035023126751184464","0.07504741102457047","0.031132087111473083","0.0863695740699768","0","0"
"right-tap","0.6255073547363281","0.5607933402061462","True","1","3","1","1","0","0.035023126751184464","0.07785506546497345","0.03110538236796856","0.09150421619415283","0","0"
"right-tap","0.6372232437133789","0.5721318125724792","True","1","3","1","1","0","0.03502693772315979","0.08113574236631393","0.03109012544155121","0.0975925475358963","0","0"
"right-tap","0.6480264663696289","0.5825863480567932","True","1","3","1","1","0","0.03502694144845009","0.08437065035104752","0.031078679487109184","0.10346725583076477","0","0"
