frame,time,grounded,stable,verticalSpeed,motionPhase,action,footPolicy,state,nextState,normalizedTime,nextNormalizedTime,leftIk,rightIk
82,8.327952,1,1,-0.090745,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.545637,0.000000,0.527686,0.527686
83,8.350556,1,1,-0.155567,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.568080,0.000000,0.468719,0.468719
84,8.369649,1,1,-0.272150,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.584542,0.000000,0.425012,0.425012
85,8.387434,1,1,-0.409693,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.601915,0.000000,0.378553,0.378553
86,8.410657,1,1,-0.525944,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.623518,0.000000,0.320442,0.320442
87,8.428000,1,1,-0.254102,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.639542,0.000000,0.277183,0.277183
88,8.450997,1,1,-0.206729,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.660921,0.000000,0.219310,0.219310
89,8.468608,1,1,-0.202378,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.677037,0.000000,0.175560,0.175560
90,8.491848,1,1,-0.202531,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.698098,0.000000,0.118247,0.118247
91,8.509000,1,1,-0.202005,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.714241,0.000000,0.074234,0.074234
