frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
27,4.590953,0.018058,1.74838,0.97648,0.33538,0.00000,0.67076,-0.03477,0,0,1,1785933915,1,-0.061009,-0.013528,0.204345,0.069456,0.624817,-0.389785,0.000000,0.000000,-0.040691,-0.777730,0.627280,0.027454,0.547743,-0.836196,Swing,Swing,0.000000,0.104912
28,4.623021,0.015956,1.19492,0.96511,0.14554,0.00000,0.29109,-0.02991,0,0,1,1785933915,1,0.265858,-0.078450,0.141440,-0.266873,0.417274,0.248818,0.000000,0.000000,0.671710,-0.695049,0.256344,-0.846897,0.197945,0.493542,Swing,Swing,0.000000,0.070742
29,4.656838,0.016113,0.73642,0.94005,0.09835,0.19671,0.00000,-0.02435,1,0,1,1785933915,1,0.093556,0.021552,-0.215245,0.152860,-0.014354,0.056015,1.889544,0.000000,0.231924,-0.933107,-0.274813,0.177447,-0.940281,0.290489,Capture,Swing,0.000000,0.037083
30,4.688379,0.015225,0.43219,0.89968,0.27852,0.55704,0.00000,-0.03288,1,0,1,1785933915,1,-0.182717,0.049111,0.138689,0.151511,0.018196,-0.081127,1.798105,0.000000,-0.334527,-0.682853,0.649465,0.301385,-0.953282,-0.020532,Stance,Swing,0.000000,0.004653
31,4.723072,0.018401,0.24373,0.86656,0.45361,0.90722,0.00000,-0.04116,1,0,1,1785933915,1,0.047525,0.558558,0.449983,-0.038713,0.134402,-0.231108,1.733533,0.000000,0.417395,0.535333,0.734303,0.048247,-0.780443,-0.623363,Stance,Swing,0.000000,0.000000
32,4.761634,0.021024,0.13217,0.88104,0.50000,1.00000,0.00000,-0.04621,1,0,1,1785933915,1,0.350331,0.613671,-0.285483,-0.210515,0.224996,0.141032,1.672228,0.000000,0.593917,0.326993,-0.735077,-0.879134,-0.475226,0.035839,Stance,Swing,0.000000,0.000000
33,4.802205,0.021026,0.06900,0.91338,0.50000,1.00000,0.00000,-0.04866,1,0,1,1785933915,1,-0.365803,0.288195,0.141590,0.239453,0.188032,-0.057456,1.610631,0.000000,-0.953167,-0.135451,0.270419,0.828177,-0.560450,-0.004336,Stance,Swing,0.000000,0.000000
34,4.856566,0.017742,0.02872,0.95083,0.50000,1.00000,0.00000,-0.05027,1,0,1,1785933915,1,0.244159,0.147371,-0.304485,0.057302,-0.002610,0.162270,1.523662,0.000000,0.630708,-0.543358,-0.554049,-0.078658,-0.880141,0.468151,Stance,Swing,0.000000,0.000000
35,4.894126,0.020342,0.01575,0.96847,0.50000,1.00000,0.00000,-0.05035,1,0,1,1785933915,1,0.225532,0.146072,-0.337302,-0.036694,-0.013418,0.139039,1.482645,0.000000,0.583188,-0.534890,-0.611379,-0.314827,-0.873366,0.371640,Stance,Swing,0.000000,0.000000
36,4.929168,0.016232,0.00906,0.97969,0.50000,1.00000,0.00000,-0.04880,1,0,1,1785933915,1,0.187505,0.165855,-0.398849,-0.152437,-0.003977,0.016895,1.438498,0.000000,0.504758,-0.481621,-0.716422,-0.571424,-0.819237,0.048216,Stance,Swing,0.000000,0.000000
37,4.964846,0.018065,0.00523,0.98726,0.50000,1.00000,0.00000,-0.04609,1,0,1,1785933915,1,0.134479,0.256011,-0.483181,-0.167800,0.076489,-0.210901,1.402400,0.000000,0.415316,-0.299694,-0.858893,-0.588703,-0.650644,-0.479678,Stance,Swing,0.000000,0.000000
38,5.002562,0.016545,0.00000,0.99234,0.50000,1.00000,0.00000,-0.04199,1,0,1,1785933915,1,0.088943,0.479217,-0.529030,0.014832,0.251541,-0.404924,1.354434,0.000000,0.353430,0.112003,-0.928732,-0.158398,-0.316411,-0.935304,Stance,Swing,0.000000,0.000000
39,5.048081,0.016941,0.00000,0.99592,0.50000,1.00000,0.00000,-0.03730,1,0,1,1785933915,1,0.289162,0.136969,-0.213798,0.145008,0.025130,0.179033,1.293305,0.000000,0.741224,-0.566780,-0.359649,0.229922,-0.819218,0.525374,Stance,Swing,0.000000,0.000000
40,5.079756,0.014701,0.00000,0.99739,0.50000,1.00000,0.00000,-0.03324,1,0,1,1785933915,1,0.283097,0.107705,-0.161795,0.122346,0.027051,0.201678,1.249972,0.000000,0.730578,-0.634490,-0.252347,0.161215,-0.798573,0.579906,Stance,Swing,0.000000,0.000000
41,5.112955,0.016937,0.00000,0.99838,0.50000,1.00000,0.00000,-0.02948,1,0,1,1785933915,1,0.294908,0.121070,-0.180889,0.136796,0.030318,0.198939,1.201595,0.000000,0.746718,-0.597736,-0.291760,0.196766,-0.794582,0.574389,Stance,Swing,0.000000,0.000000
42,5.147607,0.017341,0.00000,0.99902,0.50000,1.00000,0.00000,-0.02573,1,0,1,1785933915,1,0.311731,0.171427,-0.273186,0.189848,0.040319,0.173459,1.154948,0.000000,0.740091,-0.462805,-0.487932,0.332939,-0.797466,0.503189,Stance,Swing,0.000000,0.000000
43,5.181918,0.017222,0.00000,0.99941,0.50000,1.00000,0.00000,-0.02210,1,0,1,1785933915,1,0.309197,0.294407,-0.426271,0.287145,0.069383,0.098399,1.109856,0.000000,0.632131,-0.174076,-0.755055,0.585210,-0.768843,0.257700,Stance,Swing,0.000000,0.000000
44,5.217838,0.017712,0.00000,0.99965,0.50000,1.00000,0.00000,-0.01963,1,0,1,1785933915,1,0.280342,0.113366,-0.141745,0.123124,0.019560,0.162428,1.070818,0.000000,0.729329,-0.641978,-0.236523,0.142848,-0.864649,0.481640,Stance,Swing,0.000000,0.000000
45,5.248067,0.016340,0.00000,0.99978,0.50000,1.00000,0.00000,-0.02105,1,0,1,1785933915,1,0.283919,0.094556,-0.081893,0.098130,0.023846,0.196224,1.035999,0.000000,0.728539,-0.678935,-0.090993,0.078088,-0.823531,0.561871,Stance,Swing,0.000000,0.000000
46,5.280123,0.015089,0.00000,0.99986,0.50000,1.00000,0.00000,-0.02705,1,0,1,1785933915,1,0.294266,0.126784,-0.092893,0.125941,0.064783,0.232277,1.013945,0.000000,0.765432,-0.632764,-0.117151,0.153645,-0.732234,0.663496,Stance,Swing,0.000000,0.000000
47,5.308407,0.005355,0.00000,0.99991,0.50000,1.00000,0.00000,-0.03775,1,0,1,1785933915,1,0.260599,0.060624,-0.054440,0.079631,0.004892,0.173231,0.986079,0.000000,0.669236,-0.742707,-0.022571,0.004157,-0.858316,0.513105,Stance,Swing,0.000000,0.000000
48,5.332606,0.007006,0.00000,0.99994,0.50000,1.00000,0.00000,-0.04375,1,0,1,1785933915,1,0.255875,0.052643,-0.048772,0.079291,0.002105,0.172483,0.966364,0.000000,0.657020,-0.753847,-0.006273,-0.001030,-0.858037,0.513587,Stance,Swing,0.000000,0.000000
49,5.349078,0.006319,0.00000,0.99995,0.50000,1.00000,0.00000,-0.04702,1,0,1,1785933915,1,0.253062,0.048042,-0.042432,0.076889,0.001023,0.173635,0.953398,0.000000,0.648604,-0.761030,0.012129,-0.010400,-0.857171,0.514928,Stance,Swing,0.000000,0.000000
50,5.367642,0.006474,0.00000,0.99996,0.50000,1.00000,0.00000,-0.04876,1,0,1,1785933915,1,0.249629,0.043673,-0.036003,0.074685,0.000359,0.174879,0.940337,0.000000,0.638893,-0.768692,0.030481,-0.018545,-0.856350,0.516062,Stance,Swing,0.000000,0.000000
51,5.388510,0.005834,0.00000,0.99997,0.50000,1.00000,0.00000,-0.04836,1,0,1,1785933915,1,0.242874,0.037213,-0.031446,0.072876,0.000085,0.175001,0.925407,0.000000,0.621347,-0.782198,0.045760,-0.026066,-0.857198,0.514327,Stance,Swing,0.000000,0.000000
52,5.409857,0.005991,0.00000,0.99998,0.50000,1.00000,0.00000,-0.04581,1,0,1,1785933915,1,0.235462,0.032347,-0.027236,0.071985,0.000947,0.174652,0.911574,0.000000,0.603672,-0.795001,0.059613,-0.029250,-0.858365,0.512205,Stance,Swing,0.000000,0.000000
53,5.425511,0.005504,0.00000,0.99998,0.50000,1.00000,0.00000,-0.04292,1,0,1,1785933915,1,0.231125,0.029981,-0.021763,0.070079,0.001764,0.175375,0.901669,0.000000,0.592321,-0.802206,0.074969,-0.034518,-0.858667,0.511371,Stance,Swing,0.000000,0.000000
54,5.447164,0.005736,0.00000,0.99999,0.50000,1.00000,0.00000,-0.03844,1,0,1,1785933915,1,0.222710,0.026117,-0.018644,0.069186,0.003798,0.175687,0.883864,0.000000,0.573095,-0.815043,0.085250,-0.037025,-0.858783,0.511001,Stance,Swing,0.000000,0.000000
55,5.467523,0.005397,0.00000,0.99999,0.50000,1.00000,0.00000,-0.03395,1,0,1,1785933915,1,0.214109,0.022655,-0.016391,0.068519,0.005997,0.175974,0.862797,0.000000,0.553912,-0.827394,0.092738,-0.039863,-0.859141,0.510184,Stance,Swing,0.000000,0.000000
56,5.489377,0.006375,0.00000,0.99999,0.50000,1.00000,0.00000,-0.02950,1,0,1,1785933915,1,0.205380,0.019399,-0.014802,0.068652,0.008032,0.175828,0.836494,0.000000,0.535001,-0.839221,0.097377,-0.041965,-0.859926,0.508690,Stance,Swing,0.000000,0.000000
57,5.510401,0.005805,0.00000,1.00000,0.50000,1.00000,0.00000,-0.02489,1,0,1,1785933915,1,0.196156,0.015861,-0.014156,0.068566,0.009936,0.175385,0.803332,0.000000,0.514996,-0.851455,0.099019,-0.046853,-0.860947,0.506532,Stance,Swing,0.000000,0.000000
58,5.527147,0.006430,0.00000,1.00000,0.50000,1.00000,0.00000,-0.02129,1,0,1,1785933915,1,0.190343,0.016067,-0.014193,0.067473,0.011038,0.175579,0.777141,0.000000,0.499397,-0.859211,0.111174,-0.054016,-0.861458,0.504949,Stance,Swing,0.000000,0.000000
