schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,10,0.333333,0.033333,-1269438207,32.562390,0,XBot Walk Neutral,0.562386,0.062386,-0.178489,56.413780,-0.139418,0.329510,57.003520,0.033534,-0.041233,0.999141,-0.004026,-0.136191,0.279379,-0.950473,-0.184535,56.448550,-0.140804,0.322339,57.010770,-0.000214,1785933915,4268402,1,1,1.141951,0.252131,0.579924,-0.027341,0.123568,-0.192836,1.135211,0.253545,1.016514,0.008520,-0.127360,-0.087802,-0.177794,56.885140,-0.139390,0.329119,56.738560,0.033525,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.475200,163.809200,128.451700,91.181300,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,10,0.333333,0.033333,-1269438207,6.970276,0,Walking Backwards,0.970276,0.470276,0.098788,54.322310,6.103859,-0.332696,54.226360,5.969169,-0.002300,0.993962,0.109703,-0.002300,0.993962,0.109703,0.101940,54.318440,6.060668,-0.335133,54.224940,5.948172,0,0,0,0,0.101940,54.318440,6.060668,-0.335133,54.224940,5.948172,0.098788,54.322310,6.103859,-0.332696,54.226360,5.969169,0.098788,54.322310,6.103859,-0.332696,54.226360,5.969169,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.728600,162.740400,125.044500,90.806620,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,11,0.366667,0.033333,-1269438207,33.347950,0,XBot Walk Neutral,0.347950,0.847950,-0.174314,56.413950,-0.138905,0.333859,57.006610,0.034884,-0.041233,0.999141,-0.004026,-0.130949,0.280762,-0.950802,-0.180523,56.448720,-0.139919,0.326824,57.013230,0.000901,1785933915,4268402,1,1,1.137939,0.253016,0.580093,-0.025576,0.126336,-0.193005,1.130996,0.254067,1.015728,0.011581,-0.127056,-0.086674,-0.173579,56.884360,-0.138868,0.333440,56.738100,0.034869,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.551100,163.804600,128.450800,91.160830,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,11,0.366667,0.033333,-1269438207,7.117047,0,Walking Backwards,0.117047,0.617047,0.096293,54.322650,6.178771,-0.336049,54.229590,5.975052,-0.002312,0.993893,0.110327,-0.002312,0.993893,0.110327,0.099582,54.320530,6.109511,-0.334976,54.226720,5.962883,0,0,0,0,0.099582,54.320530,6.109511,-0.334976,54.226720,5.962883,0.096293,54.322650,6.178771,-0.336049,54.229590,5.975052,0.096293,54.322650,6.178771,-0.336049,54.229590,5.975052,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.727500,161.922400,128.194600,90.870200,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,12,0.400000,0.033333,-1269438207,34.111070,0,XBot Walk Neutral,0.111073,0.611073,-0.168904,56.414180,-0.139197,0.339471,57.009600,0.035389,-0.041233,0.999141,-0.004026,-0.109814,0.279426,-0.953867,-0.176003,56.448910,-0.139510,0.332243,57.015950,0.001596,1785933915,4268402,1,1,1.133420,0.253425,0.580281,-0.023378,0.129474,-0.193330,1.125562,0.253777,1.014725,0.015712,-0.126840,-0.086180,-0.168145,56.883350,-0.139158,0.339031,56.737520,0.035373,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.638100,163.784200,128.449700,91.151690,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,12,0.400000,0.033333,-1269438207,7.262152,0,Walking Backwards,0.262152,0.762152,0.094133,54.314830,6.208066,-0.341345,54.230470,5.978848,-0.002319,0.993858,0.110641,-0.002319,0.993858,0.110641,0.097030,54.319120,6.157729,-0.337272,54.228580,5.971450,0,0,0,0,0.097030,54.319120,6.157729,-0.337272,54.228580,5.971450,0.094133,54.314830,6.208066,-0.341345,54.230470,5.978848,0.094133,54.314830,6.208066,-0.341345,54.230470,5.978848,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,120.262400,163.182400,125.156300,90.733440,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,13,0.433333,0.033333,-1269438207,34.858970,0,XBot Walk Neutral,0.858971,0.358971,-0.163247,56.414410,-0.138483,0.345015,57.007990,0.034801,-0.041233,0.999141,-0.004026,-0.098450,0.279093,-0.955204,-0.170918,56.449120,-0.139148,0.338169,57.017210,0.001647,1785933915,4268402,1,1,1.128335,0.253787,0.580493,-0.020720,0.131241,-0.193698,1.119848,0.254491,1.014736,0.019703,-0.126861,-0.086605,-0.162432,56.883370,-0.138443,0.344544,56.736890,0.034785,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.519100,163.790300,128.451300,91.184750,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,13,0.433333,0.033333,-1269438207,7.405614,0,Walking Backwards,0.405614,0.905614,0.088564,54.316280,6.213156,-0.341479,54.232360,6.009277,-0.002332,0.993787,0.111274,-0.002332,0.993787,0.111274,0.093504,54.317380,6.188458,-0.339521,54.230310,5.986098,0,0,0,0,0.093504,54.317380,6.188458,-0.339521,54.230310,5.986098,0.088564,54.316280,6.213156,-0.341479,54.232360,6.009277,0.088564,54.316280,6.213156,-0.341479,54.232360,6.009277,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.825100,164.252400,123.626100,88.788850,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,14,0.466667,0.033333,-1269438207,35.596780,0,XBot Walk Neutral,0.596783,0.096783,-0.157478,56.414650,-0.138112,0.350749,57.008470,0.034773,-0.041233,0.999141,-0.004026,-0.089196,0.278713,-0.956224,-0.165464,56.449350,-0.138734,0.344225,57.017620,0.001466,1785933915,4268402,1,1,1.122881,0.254201,0.580720,-0.017920,0.132202,-0.193993,1.114023,0.254864,1.014637,0.023788,-0.126448,-0.086485,-0.156605,56.883270,-0.138071,0.350242,56.736450,0.034757,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.468500,163.808500,128.451800,91.184010,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,14,0.466667,0.033333,-1269438207,7.547385,0,Walking Backwards,0.547385,0.047385,0.090333,54.317520,6.222577,-0.342193,54.230510,6.091807,-0.002345,0.993715,0.111914,-0.002345,0.993715,0.111914,0.091361,54.317100,6.206503,-0.340923,54.230850,6.026581,0,0,0,0,0.091361,54.317100,6.206503,-0.340923,54.230850,6.026581,0.090333,54.317520,6.222577,-0.342193,54.230510,6.091807,0.090333,54.317520,6.222577,-0.342193,54.230510,6.091807,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.912600,161.428900,123.636400,93.299670,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,walk-run-flat,30,15,0.500000,0.033333,-1269438207,36.035800,0,XBot Walk Neutral,0.035797,0.535797,-0.151090,56.414960,-0.127396,0.358277,57.019490,0.040458,-0.041233,0.999141,-0.004026,-0.069186,0.281835,-0.956965,-0.159614,56.449610,-0.134851,0.351296,57.021670,0.004662,1785933915,4268402,1,1,1.117031,0.258084,0.580977,-0.015081,0.136934,-0.194025,1.107611,0.265580,1.012524,0.029218,-0.124238,-0.081896,-0.150194,56.881150,-0.127355,0.357732,56.736320,0.040440,0.000000,0.000000,0,0,Swing,Swing,0.000000,116.830400,163.816700,128.114300,91.214260,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,walk-run-flat,30,15,0.500000,0.033333,-1269438207,7.672089,0,Walking Backwards,0.672089,0.172089,0.099057,54.316990,6.226966,-0.340737,54.220070,6.162516,-0.002351,0.993679,0.112236,-0.002351,0.993679,0.112236,0.093603,54.317100,6.217484,-0.341140,54.227790,6.076487,0,0,0,0,0.093603,54.317100,6.217484,-0.341140,54.227790,6.076487,0.099057,54.316990,6.226966,-0.340737,54.220070,6.162516,0.099057,54.316990,6.226966,-0.340737,54.220070,6.162516,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.618600,162.032200,122.960200,95.064010,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,walk-run-flat,30,16,0.533333,0.033333,-1269438207,36.218650,0,XBot Walk Neutral,0.218655,0.718655,-0.151464,56.415290,-0.041465,0.369964,56.915210,0.023894,-0.041233,0.999141,-0.004026,0.066912,0.291777,-0.954143,-0.155742,56.449900,-0.101968,0.363177,56.991450,0.008057,1785933915,4268402,1,1,1.113159,0.290966,0.581269,-0.003907,0.106038,-0.192681,1.107948,0.351732,0.982914,0.040338,-0.135361,-0.101136,-0.150531,56.851540,-0.041203,0.369568,56.730060,0.023788,0.000000,0.000000,0,0,Swing,Swing,0.000000,121.099800,163.744400,122.291300,93.720730,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,walk-run-flat,30,16,0.533333,0.033333,-1269438207,7.781082,1,Walking Backwards,0.781082,0.281082,0.111583,54.296960,6.269752,-0.352483,54.229030,6.097279,-0.002238,0.993628,0.112691,-0.002238,0.993628,0.112691,0.100698,54.310300,6.237534,-0.345026,54.227290,6.098452,0,0,0,0,0.100698,54.310300,6.237534,-0.345026,54.227290,6.098452,0.111583,54.296960,6.269752,-0.352483,54.229030,6.097279,0.111583,54.296960,6.269752,-0.352483,54.229030,6.097279,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,123.239400,161.761300,120.178400,91.011950,NaN,NaN,0,0,none,1,0,0,DefaultContact
