schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,12,0.400000,0.033333,-1269438207,34.347950,0,XBot Walk Neutral,0.347946,0.847946,-0.175792,56.413900,-0.137540,0.332349,57.008220,0.036258,-0.041233,0.999141,-0.004026,-0.123095,0.281595,-0.951605,-0.181866,56.448670,-0.138641,0.325465,57.014140,0.002343,1785933915,4206686,1,1,1.139282,0.254294,0.580043,-0.024745,0.127008,-0.193122,-0.175085,56.883940,-0.137495,0.331942,56.737710,0.036240,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.551200,163.804600,128.450700,91.160820,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,12,0.400000,0.033333,-1269438207,24.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.103937,54.865820,5.073518,-0.527903,54.875990,4.935244,-0.001886,0.995750,0.092078,-0.009581,0.995935,0.089569,-0.101992,54.900700,5.076461,-0.526121,54.910950,4.937521,4206996,4206996,1,1,-0.101992,54.900700,5.076461,-0.526121,54.910950,4.937521,-0.105051,55.052100,5.090327,-0.528275,54.938210,4.940857,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.587900,163.798800,128.794300,91.527100,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,13,0.433333,0.033333,-1269438207,35.111070,0,XBot Walk Neutral,0.111069,0.611069,-0.171371,56.414080,-0.137183,0.336994,57.012370,0.037424,-0.041233,0.999141,-0.004026,-0.115022,0.284529,-0.951742,-0.177757,56.448840,-0.137965,0.330143,57.017750,0.003282,1785933915,4206686,1,1,1.135173,0.254970,0.580215,-0.022884,0.130862,-0.193485,-0.170624,56.883030,-0.137128,0.336556,56.737200,0.037399,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.638100,163.784200,128.449800,91.151700,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,13,0.433333,0.033333,-1269438207,25.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.106662,54.865850,5.073182,-0.530534,54.876040,4.934381,-0.001936,0.995750,0.092072,-0.009629,0.995935,0.089553,-0.104078,54.900700,5.076490,-0.528231,54.910920,4.937672,4206996,4206996,1,1,-0.104078,54.900700,5.076490,-0.528231,54.910920,4.937672,-0.107783,55.051950,5.089974,-0.530910,54.938350,4.940004,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588000,163.798700,128.761600,91.491690,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,14,0.466667,0.033333,-1269438207,35.858970,0,XBot Walk Neutral,0.858967,0.358967,-0.166002,56.414310,-0.136299,0.342250,57.012910,0.037008,-0.041233,0.999141,-0.004026,-0.104620,0.283742,-0.953176,-0.173155,56.449040,-0.137292,0.335479,57.020340,0.003280,1785933915,4206686,1,1,1.130572,0.255643,0.580408,-0.020709,0.133990,-0.193791,-0.165202,56.883010,-0.136242,0.341779,56.736540,0.036981,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.519000,163.790300,128.451200,91.184720,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,14,0.466667,0.033333,-1269438207,26.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.109408,54.865870,5.072848,-0.533186,54.876090,4.933516,-0.001986,0.995751,0.092066,-0.009677,0.995937,0.089538,-0.106491,54.900700,5.076338,-0.530609,54.910920,4.937317,4206996,4206996,1,1,-0.106491,54.900700,5.076338,-0.530609,54.910920,4.937317,-0.110538,55.051800,5.089624,-0.533565,54.938500,4.939147,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.587900,163.798900,128.826400,91.562350,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,walk-run-flat,30,15,0.500000,0.033333,-1269438207,36.596780,0,XBot Walk Neutral,0.596779,0.096779,-0.160235,56.414550,-0.135924,0.347945,57.014160,0.036985,-0.041233,0.999141,-0.004026,-0.082740,0.281788,-0.955903,-0.167999,56.449250,-0.136688,0.341514,57.022030,0.003329,1785933915,4206686,1,1,1.125416,0.256247,0.580623,-0.018129,0.136311,-0.194073,-0.159408,56.882800,-0.135865,0.347454,56.736030,0.036958,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.468700,163.808500,128.445000,91.176640,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,walk-run-flat,30,15,0.500000,0.033333,-1269438207,27.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.110534,54.865820,5.073447,-0.534523,54.875920,4.935280,-0.002006,0.995750,0.092077,-0.009701,0.995933,0.089570,-0.108552,54.900700,5.076395,-0.532703,54.910880,4.937552,4206996,4206996,1,1,-0.108552,54.900700,5.076395,-0.532703,54.910880,4.937552,-0.111670,55.052120,5.090257,-0.534903,54.938120,4.940893,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588000,163.798700,128.972900,91.699880,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,walk-run-flat,30,16,0.533333,0.033333,-1269438207,36.929800,0,XBot Walk Neutral,0.929798,0.429798,-0.151608,56.414950,-0.124402,0.359704,57.061220,0.060928,-0.041233,0.999141,-0.004026,-0.091225,0.300144,-0.949522,-0.161530,56.449540,-0.132446,0.350360,57.039470,0.015700,1785933915,4206686,1,1,1.118947,0.260488,0.580907,-0.016434,0.154893,-0.192969,-0.150707,56.884030,-0.124259,0.359080,56.736450,0.060837,0.000000,0.000000,0,0,Swing,Swing,0.000000,116.414200,163.535300,129.653400,91.159560,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,walk-run-flat,30,16,0.533333,0.033333,-1269438207,28.128740,0,Walking Backwards,0.128737,0.628737,-0.111048,54.865930,5.072232,-0.539599,54.875020,4.944701,-0.002015,0.995752,0.092055,-0.009793,0.995917,0.089741,-0.109917,54.900720,5.076125,-0.535661,54.910530,4.941172,4206996,4206996,1,1,-0.109917,54.900720,5.076125,-0.535661,54.910530,4.941172,-0.112226,55.054060,5.089209,-0.540005,54.939960,4.950560,0.000000,0.000000,0,0,Swing,Swing,0.000000,116.705100,163.729600,129.022000,91.681900,NaN,NaN,0,0,none,1,0,0,DefaultContact
