sequence,frame,seconds,source_id,events,selected_region,angle_deg,peak_displacement_m,stone_x,stone_y,stone_z,aim_bone_x,aim_bone_y,aim_bone_z,contact_x,contact_y,contact_z,incoming_x,incoming_y,incoming_z,response,first_surface
Head,38,1.2667,2899181830,1,2,0.0000,0.12000,-0.8902,70.8126,4.4239,-0.3234,70.3462,4.8416,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,39,1.3000,2899181830,1,2,0.0000,0.12000,-0.9126,70.8302,4.4357,-0.3235,70.3468,4.8412,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,40,1.3333,2899181830,1,2,0.0000,0.12000,-0.9350,70.8479,4.4474,-0.3238,70.3473,4.8408,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,41,1.3667,2899181830,1,2,0.0000,0.12000,-0.9462,70.8567,4.4533,-0.3239,70.3477,4.8402,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,42,1.4000,2899181830,1,2,0.0000,0.12000,-0.9686,70.8743,4.4651,-0.3241,70.3481,4.8396,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,43,1.4333,2899181830,1,2,0.0000,0.12000,-0.9910,70.8919,4.4769,-0.3243,70.3483,4.8390,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,44,1.4667,2899181830,1,2,0.0000,0.12000,-1.0022,70.9007,4.4828,-0.3244,70.3486,4.8383,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,45,1.5000,2899181830,1,2,0.0000,0.12000,-1.0246,70.9184,4.4946,-0.3246,70.3488,4.8378,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,46,1.5333,2899181830,1,2,0.0000,0.12000,-1.0469,70.9360,4.5064,-0.3248,70.3489,4.8374,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,47,1.5667,2899181830,1,2,0.0000,0.12000,-1.0581,70.9448,4.5123,-0.3249,70.3490,4.8371,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
LeftArm,0,0.0000,2899181830,0,2,0.0000,0.12000,0.0000,0.0000,0.0000,-0.1827,70.2764,4.3232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,1,0.0333,2899181830,0,2,0.0000,0.12000,0.0000,0.0000,0.0000,-0.1825,70.2769,4.3236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,2,0.0667,2899181830,0,2,0.0000,0.12000,0.0000,0.0000,0.0000,-0.1823,70.2774,4.3240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,3,0.1000,2899181830,0,2,0.0000,0.12000,0.0000,0.0000,0.0000,-0.1820,70.2781,4.3245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,4,0.1333,2899181830,0,2,0.0000,0.12000,0.0000,0.0000,0.0000,-0.1818,70.2789,4.3251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
LeftArm,5,0.1667,2899181831,0,2,0.0000,0.12000,1.2182,70.2855,4.3255,-0.1815,70.2796,4.3257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
