frame=93;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=94;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=95;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=96;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=97;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=98;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=99;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=100;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=101;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=102;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=103;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=104;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=105;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=106;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=107;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=108;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=109;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
